name,vocab_size,total_params,emb_params,trans_params,emb_pct,trans_pct,n_embd,n_layer,token_perplexity,bits_per_byte,bits_per_char,tokens_per_byte,tokens_per_char,scored_tokens,raw_bytes,raw_chars,expansion_ratio,source
K20K,20015,64475664,10567920,53907744,16.3905562880283,83.60944371197169,528,16,58.85997675960031,1.356145439169421,1.3582814121842302,0.2311192822837774,0.2314833026431738,298354,1293436,1291402,,depth_control/paatra_iclr_results.csv
K75K,47194,64557440,28693952,35863488,44.44716519118478,55.55283480881522,608,8,56.535337448693504,1.3427357837680336,1.3448506361410235,0.2311192822837774,0.2314833026431738,298354,1293436,1291402,,grid/paatra_iclr_results.csv
K30K,30014,63936768,20169408,43767360,31.545867316909103,68.45413268309089,672,8,58.06173273064736,1.3516014349629693,1.353730251023897,0.2311192822837774,0.2314833026431738,298354,1293436,1291402,,grid/paatra_iclr_results.csv
K15K,15014,63507968,11050304,52457664,17.399870202113853,82.60012979788614,736,8,64.0840554412941,1.3844434099348284,1.3866239531706352,0.2311192822837774,0.2314833026431738,298354,1293436,1291402,,grid/paatra_iclr_results.csv
K5K,5014,63422464,3930976,59491488,6.1980814873417724,93.80191851265825,784,8,89.08081402410484,1.494045038513656,1.4963982078662952,0.2311192822837774,0.2314833026431738,298354,1293436,1291402,,grid/paatra_iclr_results.csv
Full,151665,63745608,52172760,11572848,81.8452621865337,18.1547378134663,344,8,57.006620418135974,1.3454983920946264,1.347617595665258,0.2311192822837774,0.2314833026431738,298354,1293436,1291402,1.0,lr_sweep/Full/lr_1em3/paatra_iclr_results.csv
Full,151665,63745608,52172760,11572848,81.8452621865337,18.1547378134663,344,8,118.75285389858584,1.5897203877184418,1.592224248846595,0.2311192822837774,0.2314833026431738,298354,1293436,1291402,1.0,lr_sweep/Full/lr_1em4/paatra_iclr_results.csv
Full,151665,63745608,52172760,11572848,81.8452621865337,18.1547378134663,344,8,70.48344931797251,1.4161184960525144,1.4183489285754398,0.2311192822837774,0.2314833026431738,298354,1293436,1291402,1.0,lr_sweep/Full/lr_3em4/paatra_iclr_results.csv
Full,151665,63745608,52172760,11572848,81.8452621865337,18.1547378134663,344,8,58.97276948835317,1.356782537829215,1.35891951429506,0.2311192822837774,0.2314833026431738,298354,1293436,1291402,1.0,lr_sweep/Full/lr_6em4/paatra_iclr_results.csv
K10K,10002,63520800,7601520,55919280,11.966977745872216,88.03302225412779,760,8,90.91975385068277,1.5008449022278252,1.5032087815861748,0.2311192822837774,0.2314833026431738,298354,1293436,1291402,,lr_sweep/K10K/lr_1em3/paatra_iclr_results.csv
K10K,10002,63520800,7601520,55919280,11.966977745872216,88.03302225412779,760,8,81.4492034607994,1.4642394980582816,1.466545722718806,0.2311192822837774,0.2314833026431738,298354,1293436,1291402,,lr_sweep/K10K/lr_1em4/paatra_iclr_results.csv
K10K,10002,63520800,7601520,55919280,11.966977745872216,88.03302225412779,760,8,70.46091469698442,1.4160120832202647,1.4182423481395308,0.2311192822837774,0.2314833026431738,298354,1293436,1291402,,lr_sweep/K10K/lr_3em4/paatra_iclr_results.csv
K10K,10002,63520800,7601520,55919280,11.966977745872216,88.03302225412779,760,8,78.17069432147645,1.4505671876948434,1.4528518780234716,0.2311192822837774,0.2314833026431738,298354,1293436,1291402,,lr_sweep/K10K/lr_6em4/paatra_iclr_results.csv
K20K,20002,64612800,14401440,50211360,22.28883441051928,77.71116558948073,720,8,71.58693233678774,1.4212881597977003,1.4235267347085558,0.2311192822837774,0.2314833026431738,298354,1293436,1291402,,lr_sweep/K20K/lr_1em3/paatra_iclr_results.csv
K20K,20002,64612800,14401440,50211360,22.28883441051928,77.71116558948073,720,8,71.9609049415026,1.423022105816884,1.425263411748911,0.2311192822837774,0.2314833026431738,298354,1293436,1291402,,lr_sweep/K20K/lr_1em4/paatra_iclr_results.csv
K20K,20002,64612800,14401440,50211360,22.28883441051928,77.71116558948073,720,8,56.89238448930605,1.3448308565620148,1.3469490087425495,0.2311192822837774,0.2314833026431738,298354,1293436,1291402,,lr_sweep/K20K/lr_3em4/paatra_iclr_results.csv
K20K,20002,64612800,14401440,50211360,22.28883441051928,77.71116558948073,720,8,59.897490149023206,1.3619602459613227,1.3641053774852676,0.2311192822837774,0.2314833026431738,298354,1293436,1291402,,lr_sweep/K20K/lr_6em4/paatra_iclr_results.csv
K50K,47181,64549536,28686048,35863488,44.44036282460652,55.55963717539348,608,8,57.97525055896755,1.351105389259198,1.3532334240320676,0.2311192822837774,0.2314833026431738,298354,1293436,1291402,,replications/seed1/paatra_iclr_results.csv
K10K,10002,63520800,7601520,55919280,11.966977745872216,88.03302225412779,760,8,71.74939893535274,1.4220425559151584,1.4242823190243463,0.2311192822837774,0.2314833026431738,298354,1293436,1291402,,replications/seed1/paatra_iclr_results.csv
K50K,47181,64549536,28686048,35863488,44.44036282460652,55.55963717539348,608,8,57.11121034360599,1.3461083894082333,1.3482285537444016,0.2311192822837774,0.2314833026431738,298354,1293436,1291402,,replications/seed2/paatra_iclr_results.csv
K10K,10002,63520800,7601520,55919280,11.966977745872216,88.03302225412779,760,8,72.60840533333545,1.4260030804848016,1.428249081548534,0.2311192822837774,0.2314833026431738,298354,1293436,1291402,,replications/seed2/paatra_iclr_results.csv
